urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 10,Giyim,Dış Giyim,92,68,87,83,2,2024-08-13,2024-08-30,Kredi Kartı,1,1
2,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 1,Giyim,Ayakkabı,315,237,65,12,21,2024-08-28,2024-08-30,Nakit,1,2
3,Günlük Ayakkabı,Günlük Ayakkabı Modeli 1,Giyim,Ayakkabı,348,303,47,1,34,2024-08-03,2024-08-05,Nakit,1,2
4,Bot,Bot Modeli 4,Giyim,Ayakkabı,333,315,66,12,23,2024-08-02,2024-08-23,Nakit,1,2
5,Çizme,Çizme Modeli 6,Giyim,Ayakkabı,192,131,14,10,1,2024-08-16,2024-08-17,Kredi Kartı,1,2
6,Terlik,Terlik Modeli 1,Giyim,Ayakkabı,289,274,62,15,5,2024-08-21,2024-08-22,Kredi Kartı,1,2
7,Çocuk Montu,Çocuk Montu Modeli 10,Giyim,Çocuk Giyim,106,53,35,23,1,2024-08-07,2024-08-18,Kredi Kartı,1,3
8,Tişört,Tişört Modeli 5,Giyim,Üst Giyim,224,209,13,1,0,2024-08-11,2024-08-23,Nakit,1,4
9,Gömlek,Gömlek Modeli 3,Giyim,Üst Giyim,124,36,59,55,1,2024-08-07,2024-08-31,Nakit,1,4
10,Pantalon,Pantalon Modeli 8,Giyim,Alt Giyim,420,407,15,0,6,2024-08-23,2024-08-25,Kredi Kartı,1,5
11,Etek,Etek Modeli 2,Giyim,Alt Giyim,309,291,60,50,10,2024-08-09,2024-08-16,Kredi Kartı,1,5
12,Trençkot,Trençkot Modeli 6,Giyim,Dış Giyim,270,244,56,25,24,2024-08-23,2024-08-26,Nakit,1,1
13,Hırka,Hırka Modeli 7,Giyim,Üst Giyim,251,154,78,23,16,2024-08-01,2024-08-18,Kredi Kartı,1,4
14,Kol Çantası,Kol Çantası Modeli 9,Giyim,Aksesuar,124,112,44,26,16,2024-08-26,2024-08-28,Kredi Kartı,1,6
