urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 3,Giyim,Dış Giyim,431,360,98,18,76,2024-10-23,2024-10-26,Nakit,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 1,Giyim,Ayakkabı,321,230,24,5,19,2024-10-28,2024-10-31,Nakit,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 1,Giyim,Ayakkabı,448,424,95,51,28,2024-10-12,2024-10-20,Kredi Kartı,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 8,Giyim,Ayakkabı,474,405,50,5,18,2024-10-25,2024-10-29,Kredi Kartı,1,2
5,Bot,Bot Modeli 7,Giyim,Ayakkabı,415,378,70,29,3,2024-10-22,2024-10-31,Nakit,1,2
6,Çizme,Çizme Modeli 6,Giyim,Ayakkabı,158,77,88,60,19,2024-10-21,2024-10-29,Kredi Kartı,1,2
7,Terlik,Terlik Modeli 2,Giyim,Ayakkabı,450,351,42,6,7,2024-10-10,2024-10-12,Nakit,1,2
8,Çocuk Montu,Çocuk Montu Modeli 8,Giyim,Çocuk Giyim,456,381,59,56,0,2024-10-15,2024-10-29,Kredi Kartı,1,3
9,Tişört,Tişört Modeli 10,Giyim,Üst Giyim,173,156,42,12,12,2024-10-30,2024-10-31,Nakit,1,4
10,Gömlek,Gömlek Modeli 3,Giyim,Üst Giyim,189,107,45,40,0,2024-10-06,2024-10-25,Nakit,1,4
11,Pantalon,Pantalon Modeli 4,Giyim,Alt Giyim,109,79,13,4,4,2024-10-26,2024-10-27,Nakit,1,5
12,Etek,Etek Modeli 8,Giyim,Alt Giyim,288,188,34,12,12,2024-10-17,2024-10-24,Kredi Kartı,1,5
13,Kazak,Kazak Modeli 3,Giyim,Üst Giyim,241,173,68,62,0,2024-10-30,2024-10-31,Kredi Kartı,1,4
14,Trençkot,Trençkot Modeli 8,Giyim,Dış Giyim,302,225,22,9,5,2024-10-21,2024-10-24,Nakit,1,1
15,Hırka,Hırka Modeli 7,Giyim,Üst Giyim,110,56,29,27,2,2024-10-28,2024-10-29,Kredi Kartı,1,4
16,Kol Çantası,Kol Çantası Modeli 9,Giyim,Aksesuar,496,478,100,54,11,2024-10-24,2024-10-31,Kredi Kartı,1,6
17,Saat,Saat Modeli 6,Giyim,Aksesuar,76,25,28,17,9,2024-10-23,2024-10-24,Kredi Kartı,1,6
18,Cüzdan,Cüzdan Modeli 10,Giyim,Aksesuar,362,268,76,44,32,2024-10-11,2024-10-27,Nakit,1,6
19,Kolye,Kolye Modeli 9,Giyim,Aksesuar,378,300,95,16,32,2024-10-22,2024-10-26,Kredi Kartı,1,6
20,Yüzük,Yüzük Modeli 7,Giyim,Aksesuar,425,400,60,4,30,2024-10-28,2024-10-31,Nakit,1,6
21,Bileklik,Bileklik Modeli 9,Giyim,Aksesuar,486,393,35,26,6,2024-10-04,2024-10-11,Nakit,1,6
22,Küpe,Küpe Modeli 2,Giyim,Aksesuar,410,378,39,35,3,2024-10-25,2024-10-29,Kredi Kartı,1,6
23,Atkı,Atkı Modeli 10,Giyim,Aksesuar,438,342,67,19,31,2024-10-06,2024-10-19,Kredi Kartı,1,6
24,Bere,Bere Modeli 1,Giyim,Aksesuar,325,300,51,25,0,2024-10-18,2024-10-22,Kredi Kartı,1,6
25,Eldiven,Eldiven Modeli 6,Giyim,Aksesuar,99,52,39,9,20,2024-10-22,2024-10-28,Kredi Kartı,1,6
26,Güneş Gözlüğü,Güneş Gözlüğü Modeli 1,Giyim,Aksesuar,233,195,14,2,9,2024-10-24,2024-10-30,Nakit,1,6
27,Maskara,Maskara Modeli 2,Kozmetik,Makyaj,67,25,76,56,11,2024-10-13,2024-10-27,Kredi Kartı,2,7
28,Ruj,Ruj Modeli 2,Kozmetik,Makyaj,233,215,90,42,48,2024-10-21,2024-10-30,Kredi Kartı,2,7
29,Fondöten,Fondöten Modeli 10,Kozmetik,Makyaj,179,113,30,16,8,2024-10-23,2024-10-31,Nakit,2,7
30,Oje,Oje Modeli 7,Kozmetik,Makyaj,434,419,42,6,10,2024-10-27,2024-10-29,Nakit,2,7
31,Göz Kalemi,Göz Kalemi Modeli 7,Kozmetik,Makyaj,133,98,48,29,10,2024-10-16,2024-10-18,Nakit,2,7
32,Şampuan,Şampuan Modeli 6,Kozmetik,Kişisel Bakım,300,255,76,7,17,2024-10-17,2024-10-22,Kredi Kartı,2,8
33,Saç Kremi,Saç Kremi Modeli 8,Kozmetik,Kişisel Bakım,448,372,33,29,1,2024-10-19,2024-10-24,Nakit,2,8
34,Diş Macunu,Diş Macunu Modeli 7,Kozmetik,Kişisel Bakım,304,284,10,10,0,2024-10-03,2024-10-17,Nakit,2,8
35,Diş İpi,Diş İpi Modeli 7,Kozmetik,Kişisel Bakım,414,396,32,25,2,2024-10-09,2024-10-29,Nakit,2,8
36,Deodorant,Deodorant Modeli 6,Kozmetik,Kişisel Bakım,341,253,97,14,50,2024-10-20,2024-10-22,Nakit,2,8
37,Parfüm,Parfüm Modeli 3,Kozmetik,Kişisel Bakım,229,167,71,27,19,2024-10-06,2024-10-13,Kredi Kartı,2,8
38,Nemlendirici Krem,Nemlendirici Krem Modeli 10,Kozmetik,Kişisel Bakım,396,352,84,68,8,2024-10-07,2024-10-11,Kredi Kartı,2,8
39,Duş Jeli,Duş Jeli Modeli 6,Kozmetik,Kişisel Bakım,327,301,92,42,34,2024-10-25,2024-10-31,Nakit,2,8
40,Güneş Kremi,Güneş Kremi Modeli 9,Kozmetik,Kişisel Bakım,443,423,74,11,13,2024-10-02,2024-10-21,Nakit,2,8
41,Tarak,Tarak Modeli 6,Kozmetik,Kişisel Bakım,419,321,82,56,21,2024-10-21,2024-10-22,Kredi Kartı,2,8
42,Süpürge,Süpürge Modeli 2,Elektronik,Küçük Ev Aletleri,488,451,78,10,61,2024-10-05,2024-10-17,Nakit,3,9
43,Robot Süpürge,Robot Süpürge Modeli 9,Elektronik,Küçük Ev Aletleri,421,380,37,9,12,2024-10-10,2024-10-15,Nakit,3,9
44,Ütü,Ütü Modeli 6,Elektronik,Küçük Ev Aletleri,224,132,90,61,4,2024-10-26,2024-10-30,Kredi Kartı,3,9
45,Kahve Makinesi,Kahve Makinesi Modeli 10,Elektronik,Küçük Ev Aletleri,212,145,86,11,43,2024-10-16,2024-10-29,Nakit,3,9
46,Çay Makinesi,Çay Makinesi Modeli 10,Elektronik,Küçük Ev Aletleri,130,81,39,33,0,2024-10-09,2024-10-18,Nakit,3,9
47,Tost Makinesi,Tost Makinesi Modeli 10,Elektronik,Küçük Ev Aletleri,176,125,44,7,7,2024-10-17,2024-10-19,Nakit,3,9
48,Su Isıtıcı,Su Isıtıcı Modeli 10,Elektronik,Küçük Ev Aletleri,223,175,84,68,12,2024-10-24,2024-10-26,Kredi Kartı,3,9
49,Mikser,Mikser Modeli 5,Elektronik,Küçük Ev Aletleri,404,322,11,4,3,2024-10-18,2024-10-27,Kredi Kartı,3,9
50,Airfryer,Airfryer Modeli 1,Elektronik,Küçük Ev Aletleri,148,96,66,61,2,2024-10-07,2024-10-26,Nakit,3,9
51,Akıllı Saat,Akıllı Saat Modeli 7,Elektronik,Giyilebilir Teknoloji,347,290,60,48,11,2024-10-20,2024-10-26,Nakit,3,10
52,Akıllı Bileklik,Akıllı Bileklik Modeli 9,Elektronik,Giyilebilir Teknoloji,466,437,33,17,7,2024-10-20,2024-10-31,Nakit,3,10
53,Android Cep Telefon,Android Cep Telefon Modeli 4,Elektronik,Telefon,131,35,50,49,1,2024-10-09,2024-10-23,Nakit,3,11
54,iOS Cep Telefon,iOS Cep Telefon Modeli 4,Elektronik,Telefon,499,425,82,56,19,2024-10-13,2024-10-28,Nakit,3,11
55,Buzdolabı,Buzdolabı Modeli 9,Elektronik,Beyaz Eşya,192,180,99,26,45,2024-10-08,2024-10-30,Nakit,3,12
56,Çamaşır Makinesi,Çamaşır Makinesi Modeli 10,Elektronik,Beyaz Eşya,88,25,62,38,5,2024-10-08,2024-10-17,Kredi Kartı,3,12
57,Bulaşık Makinesi,Bulaşık Makinesi Modeli 4,Elektronik,Beyaz Eşya,367,349,24,12,1,2024-10-06,2024-10-26,Kredi Kartı,3,12
58,Kurutma Makinesi,Kurutma Makinesi Modeli 1,Elektronik,Beyaz Eşya,74,25,28,18,4,2024-10-19,2024-10-27,Nakit,3,12
59,Derin Dondurucu,Derin Dondurucu Modeli 10,Elektronik,Beyaz Eşya,386,369,42,34,4,2024-10-07,2024-10-15,Kredi Kartı,3,12
60,Ankastre Set,Ankastre Set Modeli 8,Elektronik,Beyaz Eşya,435,399,13,4,0,2024-10-04,2024-10-14,Nakit,3,12
61,Kombi,Kombi Modeli 8,Elektronik,Beyaz Eşya,65,25,80,49,27,2024-10-17,2024-10-28,Kredi Kartı,3,12
62,Mikrodalga Fırın,Mikrodalga Fırın Modeli 6,Elektronik,Beyaz Eşya,414,397,89,8,79,2024-10-23,2024-10-26,Kredi Kartı,3,12
63,Smart TV,Smart TV Modeli 10,Elektronik,Televizyon,115,61,48,14,31,2024-10-14,2024-10-29,Nakit,3,13
64,Fotoğraf Makinesi,Fotoğraf Makinesi Modeli 6,Elektronik,Kamera,111,43,80,65,2,2024-10-09,2024-10-28,Kredi Kartı,3,14
65,Aksiyon Kamera,Aksiyon Kamera Modeli 10,Elektronik,Kamera,169,121,97,80,15,2024-10-16,2024-10-29,Kredi Kartı,3,14
66,Şipşak Fotoğraf Makinesi ,Şipşak Fotoğraf Makinesi  Modeli 9,Elektronik,Kamera,457,382,17,11,5,2024-10-17,2024-10-20,Nakit,3,14
67,Telefon Kılıfı,Telefon Kılıfı Modeli 3,Elektronik,Aksesuarlar,246,170,56,23,7,2024-10-08,2024-10-11,Kredi Kartı,3,15
68,Şarj Aleti,Şarj Aleti Modeli 6,Elektronik,Aksesuarlar,221,178,15,6,4,2024-10-16,2024-10-19,Kredi Kartı,3,15
69,Powerbank,Powerbank Modeli 7,Elektronik,Aksesuarlar,383,346,10,10,0,2024-10-08,2024-10-19,Kredi Kartı,3,15
70,Kulaklık,Kulaklık Modeli 10,Elektronik,Aksesuarlar,255,231,95,62,1,2024-10-26,2024-10-29,Kredi Kartı,3,15
71,Hafıza Kartı,Hafıza Kartı Modeli 4,Elektronik,Aksesuarlar,321,309,99,85,8,2024-10-18,2024-10-27,Kredi Kartı,3,15
72,Hoparlör,Hoparlör Modeli 6,Elektronik,Aksesuarlar,412,350,53,7,30,2024-10-14,2024-10-18,Nakit,3,15
73,Projeksiyon Cihazı,Projeksiyon Cihazı Modeli 4,Elektronik,Aksesuarlar,430,381,84,9,0,2024-10-30,2024-10-31,Nakit,3,15
74,Tv Kumandası,Tv Kumandası Modeli 9,Elektronik,Aksesuarlar,55,25,90,69,6,2024-10-22,2024-10-23,Kredi Kartı,3,15
75,HDMI Kablo,HDMI Kablo Modeli 8,Elektronik,Aksesuarlar,229,210,57,7,17,2024-10-10,2024-10-22,Nakit,3,15
76,Kablo & Adaptör,Kablo & Adaptör Modeli 4,Elektronik,Aksesuarlar,152,121,46,31,2,2024-10-08,2024-10-25,Nakit,3,15
77,Tencere,Tencere Modeli 3,Ev,Sofra & Mutfak,95,59,50,22,23,2024-10-18,2024-10-29,Kredi Kartı,4,16
78,Yemek Takımı,Yemek Takımı Modeli 10,Ev,Sofra & Mutfak,421,346,53,43,6,2024-10-15,2024-10-21,Kredi Kartı,4,16
79,Çatal Bıçak Seti,Çatal Bıçak Seti Modeli 3,Ev,Sofra & Mutfak,264,233,59,33,23,2024-10-09,2024-10-29,Nakit,4,16
80,Fincan Takımı,Fincan Takımı Modeli 6,Ev,Sofra & Mutfak,453,419,15,13,1,2024-10-08,2024-10-22,Kredi Kartı,4,16
81,Bardak,Bardak Modeli 9,Ev,Sofra & Mutfak,76,28,97,16,25,2024-10-27,2024-10-30,Kredi Kartı,4,16
82,Hurç,Hurç Modeli 4,Ev,Ev Gereçleri,488,393,74,65,9,2024-10-20,2024-10-30,Kredi Kartı,4,17
83,Çamaşır Sepeti,Çamaşır Sepeti Modeli 2,Ev,Ev Gereçleri,291,217,31,17,14,2024-10-08,2024-10-28,Kredi Kartı,4,17
84,Ütü Masası,Ütü Masası Modeli 5,Ev,Ev Gereçleri,386,372,97,8,3,2024-10-28,2024-10-31,Kredi Kartı,4,17
85,Nevresim Takımı,Nevresim Takımı Modeli 7,Ev,Ev Tekstili,156,65,36,17,3,2024-10-26,2024-10-28,Nakit,4,18
86,Yastık & Yorgan,Yastık & Yorgan Modeli 6,Ev,Ev Tekstili,232,208,81,31,9,2024-10-19,2024-10-29,Kredi Kartı,4,18
87,Koltuk  Örtüsü,Koltuk  Örtüsü Modeli 10,Ev,Ev Tekstili,144,85,50,1,33,2024-10-18,2024-10-28,Nakit,4,18
88,Perde,Perde Modeli 4,Ev,Ev Tekstili,212,173,66,58,2,2024-10-08,2024-10-20,Nakit,4,18
89,Paspas,Paspas Modeli 7,Ev,Ev Tekstili,400,374,76,0,38,2024-10-30,2024-10-31,Nakit,4,18
90,Halı,Halı Modeli 1,Ev,Ev Tekstili,195,179,80,65,15,2024-10-16,2024-10-26,Kredi Kartı,4,18
91,Havlu & Bornoz,Havlu & Bornoz Modeli 4,Ev,Ev Tekstili,269,217,39,3,0,2024-10-14,2024-10-15,Kredi Kartı,4,18
92,Ayna,Ayna Modeli 2,Ev,Ev Dekorasyon,153,61,56,34,9,2024-10-14,2024-10-27,Kredi Kartı,4,19
93,Tablo,Tablo Modeli 3,Ev,Ev Dekorasyon,462,440,65,9,28,2024-10-26,2024-10-29,Kredi Kartı,4,19
94,Vazo,Vazo Modeli 9,Ev,Ev Dekorasyon,463,439,23,13,6,2024-10-15,2024-10-25,Nakit,4,19
95,Duvar Saati,Duvar Saati Modeli 9,Ev,Ev Dekorasyon,350,283,11,1,9,2024-10-29,2024-10-30,Nakit,4,19
96,Avize,Avize Modeli 8,Ev,Ev Aydınlatma,65,25,76,24,11,2024-10-25,2024-10-28,Nakit,4,20
97,Yatak Odası Takımı,Yatak Odası Takımı Modeli 8,Ev,Mobilya,457,386,20,12,3,2024-10-14,2024-10-28,Nakit,4,21
98,Oturma Odası Takımı,Oturma Odası Takımı Modeli 6,Ev,Mobilya,359,340,48,37,10,2024-10-01,2024-10-11,Kredi Kartı,4,21
99,Bahçe Mobilyası,Bahçe Mobilyası Modeli 9,Ev,Mobilya,419,376,14,4,2,2024-10-29,2024-10-31,Kredi Kartı,4,21
100,Yemek Odası Takımı,Yemek Odası Takımı Modeli 2,Ev,Mobilya,344,297,73,7,53,2024-10-16,2024-10-25,Kredi Kartı,4,21
101,Genç Odası Takımı,Genç Odası Takımı Modeli 5,Ev,Mobilya,493,469,42,40,2,2024-10-21,2024-10-31,Nakit,4,21
102,Koltuk Takımı,Koltuk Takımı Modeli 1,Ev,Mobilya,231,144,27,18,5,2024-10-25,2024-10-31,Nakit,4,21
103,Dolap,Dolap Modeli 3,Ev,Mobilya,271,259,36,7,13,2024-10-22,2024-10-24,Nakit,4,21
104,Gardırop,Gardırop Modeli 5,Ev,Mobilya,186,113,95,68,0,2024-10-06,2024-10-19,Nakit,4,21
105,Sandalye,Sandalye Modeli 1,Ev,Mobilya,435,375,67,31,13,2024-10-26,2024-10-27,Nakit,4,21
106,Zigon,Zigon Modeli 8,Ev,Mobilya,182,91,12,5,3,2024-10-27,2024-10-28,Nakit,4,21
107,Mont,Mont Modeli 9,Giyim,Dış Giyim,102,27,56,30,2,2024-10-17,2024-10-22,Nakit,1,1
108,Spor Ayakkabı,Spor Ayakkabı Modeli 8,Giyim,Ayakkabı,110,25,61,46,4,2024-10-20,2024-10-23,Kredi Kartı,1,2
109,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 1,Giyim,Ayakkabı,204,191,99,7,68,2024-10-28,2024-10-29,Kredi Kartı,1,2
110,Günlük Ayakkabı,Günlük Ayakkabı Modeli 5,Giyim,Ayakkabı,100,56,42,11,16,2024-10-11,2024-10-20,Nakit,1,2
