urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 5,Giyim,Dış Giyim,329,255,60,11,13,2024-09-11,2024-09-19,Kredi Kartı,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 5,Giyim,Ayakkabı,343,283,86,36,45,2024-09-20,2024-09-28,Nakit,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 2,Giyim,Ayakkabı,494,417,25,19,4,2024-09-13,2024-09-18,Kredi Kartı,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 3,Giyim,Ayakkabı,80,27,93,19,46,2024-09-18,2024-09-21,Nakit,1,2
5,Bot,Bot Modeli 1,Giyim,Ayakkabı,184,111,99,30,59,2024-09-13,2024-09-29,Nakit,1,2
6,Çizme,Çizme Modeli 1,Giyim,Ayakkabı,241,227,36,25,2,2024-09-17,2024-09-30,Kredi Kartı,1,2
7,Terlik,Terlik Modeli 4,Giyim,Ayakkabı,425,336,27,26,1,2024-09-02,2024-09-30,Nakit,1,2
8,Çocuk Montu,Çocuk Montu Modeli 3,Giyim,Çocuk Giyim,369,349,25,11,0,2024-09-04,2024-09-21,Kredi Kartı,1,3
9,Tişört,Tişört Modeli 3,Giyim,Üst Giyim,110,67,79,35,22,2024-09-07,2024-09-09,Nakit,1,4
10,Gömlek,Gömlek Modeli 6,Giyim,Üst Giyim,153,91,77,48,21,2024-09-04,2024-09-08,Kredi Kartı,1,4
11,Pantalon,Pantalon Modeli 9,Giyim,Alt Giyim,239,216,92,32,19,2024-09-28,2024-09-29,Nakit,1,5
12,Etek,Etek Modeli 4,Giyim,Alt Giyim,103,25,35,16,4,2024-09-11,2024-09-22,Nakit,1,5
13,Kazak,Kazak Modeli 7,Giyim,Üst Giyim,235,187,72,51,11,2024-09-04,2024-09-26,Kredi Kartı,1,4
14,Trençkot,Trençkot Modeli 8,Giyim,Dış Giyim,72,25,74,58,15,2024-09-06,2024-09-19,Kredi Kartı,1,1
15,Hırka,Hırka Modeli 1,Giyim,Üst Giyim,66,55,35,31,4,2024-09-17,2024-09-28,Kredi Kartı,1,4
16,Kol Çantası,Kol Çantası Modeli 8,Giyim,Aksesuar,205,108,46,28,2,2024-09-16,2024-09-29,Kredi Kartı,1,6
17,Saat,Saat Modeli 8,Giyim,Aksesuar,350,311,92,11,75,2024-09-08,2024-09-11,Kredi Kartı,1,6
18,Cüzdan,Cüzdan Modeli 3,Giyim,Aksesuar,296,254,34,13,16,2024-09-13,2024-09-17,Kredi Kartı,1,6
19,Kolye,Kolye Modeli 5,Giyim,Aksesuar,106,25,22,3,9,2024-09-05,2024-09-10,Nakit,1,6
20,Yüzük,Yüzük Modeli 1,Giyim,Aksesuar,354,338,93,35,36,2024-09-15,2024-09-20,Kredi Kartı,1,6
21,Bileklik,Bileklik Modeli 10,Giyim,Aksesuar,458,389,29,26,3,2024-09-03,2024-09-21,Kredi Kartı,1,6
22,Küpe,Küpe Modeli 1,Giyim,Aksesuar,272,232,40,25,1,2024-09-07,2024-09-24,Nakit,1,6
23,Atkı,Atkı Modeli 2,Giyim,Aksesuar,198,170,16,16,0,2024-09-21,2024-09-28,Kredi Kartı,1,6
24,Eldiven,Eldiven Modeli 1,Giyim,Aksesuar,337,264,54,40,7,2024-09-18,2024-09-28,Kredi Kartı,1,6
25,Kemer,Kemer Modeli 5,Giyim,Aksesuar,481,421,29,2,14,2024-09-18,2024-09-22,Nakit,1,6
26,Güneş Gözlüğü,Güneş Gözlüğü Modeli 9,Giyim,Aksesuar,482,429,47,8,17,2024-09-17,2024-09-18,Nakit,1,6
27,Maskara,Maskara Modeli 9,Kozmetik,Makyaj,435,416,23,16,3,2024-09-24,2024-09-27,Kredi Kartı,2,7
28,Ruj,Ruj Modeli 6,Kozmetik,Makyaj,463,391,81,35,18,2024-09-26,2024-09-29,Kredi Kartı,2,7
29,Allık,Allık Modeli 3,Kozmetik,Makyaj,90,25,28,27,1,2024-09-25,2024-09-30,Nakit,2,7
30,Fondöten,Fondöten Modeli 2,Kozmetik,Makyaj,340,309,27,20,4,2024-09-23,2024-09-24,Kredi Kartı,2,7
31,Oje,Oje Modeli 5,Kozmetik,Makyaj,191,126,52,46,6,2024-09-07,2024-09-29,Kredi Kartı,2,7
32,Göz Kalemi,Göz Kalemi Modeli 7,Kozmetik,Makyaj,353,266,45,31,3,2024-09-18,2024-09-30,Kredi Kartı,2,7
33,Şampuan,Şampuan Modeli 3,Kozmetik,Kişisel Bakım,78,25,71,63,7,2024-09-09,2024-09-18,Nakit,2,8
34,Saç Kremi,Saç Kremi Modeli 3,Kozmetik,Kişisel Bakım,357,260,21,16,0,2024-09-16,2024-09-28,Kredi Kartı,2,8
35,Diş Fırçası,Diş Fırçası Modeli 4,Kozmetik,Kişisel Bakım,280,255,55,44,5,2024-09-19,2024-09-22,Kredi Kartı,2,8
36,Diş Macunu,Diş Macunu Modeli 7,Kozmetik,Kişisel Bakım,267,238,69,21,41,2024-09-28,2024-09-29,Nakit,2,8
37,Diş İpi,Diş İpi Modeli 1,Kozmetik,Kişisel Bakım,160,71,33,12,13,2024-09-10,2024-09-21,Kredi Kartı,2,8
38,Deodorant,Deodorant Modeli 3,Kozmetik,Kişisel Bakım,405,316,74,29,31,2024-09-20,2024-09-28,Kredi Kartı,2,8
39,Parfüm,Parfüm Modeli 5,Kozmetik,Kişisel Bakım,434,394,23,5,14,2024-09-10,2024-09-23,Nakit,2,8
40,Nemlendirici Krem,Nemlendirici Krem Modeli 3,Kozmetik,Kişisel Bakım,364,280,85,15,25,2024-09-07,2024-09-20,Kredi Kartı,2,8
41,Duş Jeli,Duş Jeli Modeli 4,Kozmetik,Kişisel Bakım,155,70,10,5,0,2024-09-09,2024-09-10,Nakit,2,8
42,Kese,Kese Modeli 1,Kozmetik,Kişisel Bakım,354,259,88,49,15,2024-09-11,2024-09-30,Nakit,2,8
43,Güneş Kremi,Güneş Kremi Modeli 6,Kozmetik,Kişisel Bakım,447,369,67,65,1,2024-09-20,2024-09-27,Kredi Kartı,2,8
44,Tarak,Tarak Modeli 7,Kozmetik,Kişisel Bakım,344,269,49,48,1,2024-09-20,2024-09-21,Kredi Kartı,2,8
45,Süpürge,Süpürge Modeli 6,Elektronik,Küçük Ev Aletleri,276,238,21,13,3,2024-09-08,2024-09-25,Kredi Kartı,3,9
46,Robot Süpürge,Robot Süpürge Modeli 5,Elektronik,Küçük Ev Aletleri,413,392,66,57,7,2024-09-26,2024-09-30,Nakit,3,9
