urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 8,Giyim,Dış Giyim,155,123,37,22,3,2024-06-09,2024-06-21,Kredi Kartı,1,1
2,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 6,Giyim,Ayakkabı,152,116,29,14,0,2024-06-09,2024-06-15,Kredi Kartı,1,2
3,Günlük Ayakkabı,Günlük Ayakkabı Modeli 2,Giyim,Ayakkabı,174,131,41,40,1,2024-06-27,2024-06-30,Kredi Kartı,1,2
4,Çizme,Çizme Modeli 4,Giyim,Ayakkabı,293,217,45,33,3,2024-06-08,2024-06-14,Kredi Kartı,1,2
5,Terlik,Terlik Modeli 4,Giyim,Ayakkabı,80,25,89,66,23,2024-06-27,2024-06-28,Kredi Kartı,1,2
6,Çocuk Montu,Çocuk Montu Modeli 10,Giyim,Çocuk Giyim,275,217,86,25,12,2024-06-10,2024-06-11,Kredi Kartı,1,3
7,Tişört,Tişört Modeli 3,Giyim,Üst Giyim,423,376,89,63,1,2024-06-06,2024-06-23,Kredi Kartı,1,4
8,Gömlek,Gömlek Modeli 10,Giyim,Üst Giyim,309,276,50,18,7,2024-06-15,2024-06-24,Nakit,1,4
9,Pantalon,Pantalon Modeli 4,Giyim,Alt Giyim,381,368,26,23,1,2024-06-05,2024-06-24,Kredi Kartı,1,5
10,Etek,Etek Modeli 4,Giyim,Alt Giyim,334,235,65,23,15,2024-06-03,2024-06-25,Kredi Kartı,1,5
11,Kazak,Kazak Modeli 10,Giyim,Üst Giyim,86,25,48,32,7,2024-06-06,2024-06-30,Kredi Kartı,1,4
12,Trençkot,Trençkot Modeli 7,Giyim,Dış Giyim,362,300,82,25,15,2024-06-07,2024-06-11,Nakit,1,1
13,Hırka,Hırka Modeli 4,Giyim,Üst Giyim,175,136,16,6,3,2024-06-16,2024-06-30,Kredi Kartı,1,4
14,Kol Çantası,Kol Çantası Modeli 7,Giyim,Aksesuar,415,373,73,61,8,2024-06-11,2024-06-13,Kredi Kartı,1,6
15,Saat,Saat Modeli 6,Giyim,Aksesuar,389,331,59,13,41,2024-06-10,2024-06-29,Kredi Kartı,1,6
16,Kolye,Kolye Modeli 2,Giyim,Aksesuar,401,378,67,49,0,2024-06-10,2024-06-17,Kredi Kartı,1,6
17,Yüzük,Yüzük Modeli 2,Giyim,Aksesuar,201,143,92,12,51,2024-06-23,2024-06-24,Nakit,1,6
18,Bileklik,Bileklik Modeli 9,Giyim,Aksesuar,147,80,10,2,6,2024-06-24,2024-06-27,Nakit,1,6
19,Küpe,Küpe Modeli 3,Giyim,Aksesuar,289,192,94,88,3,2024-06-04,2024-06-24,Nakit,1,6
20,Atkı,Atkı Modeli 1,Giyim,Aksesuar,279,244,65,0,2,2024-06-19,2024-06-21,Kredi Kartı,1,6
