urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 9,Giyim,Dış Giyim,117,103,48,38,7,2024-11-01,2024-11-20,Nakit,1,1
2,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 8,Giyim,Ayakkabı,492,481,48,8,29,2024-11-06,2024-11-25,Nakit,1,2
3,Günlük Ayakkabı,Günlük Ayakkabı Modeli 9,Giyim,Ayakkabı,328,239,46,30,16,2024-11-01,2024-11-10,Nakit,1,2
4,Bot,Bot Modeli 7,Giyim,Ayakkabı,150,50,63,48,1,2024-11-23,2024-11-28,Nakit,1,2
5,Çizme,Çizme Modeli 7,Giyim,Ayakkabı,283,199,57,47,0,2024-11-01,2024-11-11,Kredi Kartı,1,2
6,Terlik,Terlik Modeli 4,Giyim,Ayakkabı,368,302,58,14,32,2024-11-09,2024-11-26,Nakit,1,2
7,Çocuk Montu,Çocuk Montu Modeli 6,Giyim,Çocuk Giyim,375,283,78,30,36,2024-11-08,2024-11-26,Kredi Kartı,1,3
8,Tişört,Tişört Modeli 7,Giyim,Üst Giyim,468,396,42,26,12,2024-11-19,2024-11-21,Nakit,1,4
9,Gömlek,Gömlek Modeli 6,Giyim,Üst Giyim,159,146,33,25,5,2024-11-07,2024-11-15,Kredi Kartı,1,4
10,Pantalon,Pantalon Modeli 8,Giyim,Alt Giyim,140,63,29,26,0,2024-11-23,2024-11-29,Nakit,1,5
11,Etek,Etek Modeli 5,Giyim,Alt Giyim,150,131,81,78,0,2024-11-23,2024-11-27,Kredi Kartı,1,5
12,Kazak,Kazak Modeli 4,Giyim,Üst Giyim,214,118,74,71,3,2024-11-02,2024-11-15,Nakit,1,4
13,Trençkot,Trençkot Modeli 9,Giyim,Dış Giyim,172,156,32,21,10,2024-11-24,2024-11-28,Nakit,1,1
14,Hırka,Hırka Modeli 1,Giyim,Üst Giyim,461,430,35,0,12,2024-11-06,2024-11-12,Nakit,1,4
15,Kol Çantası,Kol Çantası Modeli 7,Giyim,Aksesuar,221,174,61,46,7,2024-11-25,2024-11-30,Nakit,1,6
16,Saat,Saat Modeli 8,Giyim,Aksesuar,393,299,41,37,3,2024-11-20,2024-11-29,Kredi Kartı,1,6
17,Cüzdan,Cüzdan Modeli 6,Giyim,Aksesuar,209,150,22,8,7,2024-11-23,2024-11-30,Nakit,1,6
18,Kolye,Kolye Modeli 7,Giyim,Aksesuar,340,278,45,7,17,2024-11-28,2024-11-29,Kredi Kartı,1,6
19,Bileklik,Bileklik Modeli 7,Giyim,Aksesuar,294,271,48,7,12,2024-11-03,2024-11-08,Nakit,1,6
20,Küpe,Küpe Modeli 5,Giyim,Aksesuar,221,181,91,88,0,2024-11-27,2024-11-29,Nakit,1,6
21,Atkı,Atkı Modeli 10,Giyim,Aksesuar,472,459,91,1,5,2024-11-25,2024-11-30,Kredi Kartı,1,6
22,Bere,Bere Modeli 2,Giyim,Aksesuar,294,255,70,31,25,2024-11-13,2024-11-19,Kredi Kartı,1,6
23,Eldiven,Eldiven Modeli 9,Giyim,Aksesuar,158,114,57,19,7,2024-11-04,2024-11-09,Nakit,1,6
24,Kemer,Kemer Modeli 7,Giyim,Aksesuar,499,448,20,2,4,2024-11-11,2024-11-26,Kredi Kartı,1,6
25,Maskara,Maskara Modeli 7,Kozmetik,Makyaj,330,277,62,12,21,2024-11-29,2024-11-30,Nakit,2,7
26,Ruj,Ruj Modeli 9,Kozmetik,Makyaj,389,356,67,3,6,2024-11-05,2024-11-18,Nakit,2,7
27,Allık,Allık Modeli 6,Kozmetik,Makyaj,93,50,77,64,1,2024-11-14,2024-11-21,Kredi Kartı,2,7
28,Fondöten,Fondöten Modeli 10,Kozmetik,Makyaj,432,332,14,13,1,2024-11-18,2024-11-29,Nakit,2,7
29,Oje,Oje Modeli 4,Kozmetik,Makyaj,404,351,34,31,0,2024-11-16,2024-11-21,Kredi Kartı,2,7
30,Göz Kalemi,Göz Kalemi Modeli 10,Kozmetik,Makyaj,451,434,22,22,0,2024-11-04,2024-11-29,Kredi Kartı,2,7
31,Şampuan,Şampuan Modeli 5,Kozmetik,Kişisel Bakım,374,343,59,1,14,2024-11-09,2024-11-27,Kredi Kartı,2,8
32,Saç Kremi,Saç Kremi Modeli 8,Kozmetik,Kişisel Bakım,383,285,12,10,1,2024-11-17,2024-11-18,Nakit,2,8
33,Diş Fırçası,Diş Fırçası Modeli 8,Kozmetik,Kişisel Bakım,186,90,98,47,31,2024-11-13,2024-11-19,Kredi Kartı,2,8
34,Diş Macunu,Diş Macunu Modeli 3,Kozmetik,Kişisel Bakım,58,30,33,19,11,2024-11-05,2024-11-22,Kredi Kartı,2,8
35,Diş İpi,Diş İpi Modeli 7,Kozmetik,Kişisel Bakım,327,311,86,36,1,2024-11-23,2024-11-24,Kredi Kartı,2,8
