urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 5,Giyim,Dış Giyim,309,224,55,16,2,2024-03-27,2024-03-28,Kredi Kartı,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 3,Giyim,Ayakkabı,398,303,89,38,25,2024-03-08,2024-03-17,Kredi Kartı,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 3,Giyim,Ayakkabı,141,115,96,59,17,2024-03-29,2024-03-31,Nakit,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 6,Giyim,Ayakkabı,61,25,37,14,6,2024-03-17,2024-03-21,Nakit,1,2
5,Bot,Bot Modeli 9,Giyim,Ayakkabı,296,199,36,11,2,2024-03-15,2024-03-27,Kredi Kartı,1,2
6,Çizme,Çizme Modeli 1,Giyim,Ayakkabı,96,25,73,55,4,2024-03-11,2024-03-25,Kredi Kartı,1,2
7,Terlik,Terlik Modeli 1,Giyim,Ayakkabı,193,179,98,18,56,2024-03-18,2024-03-19,Kredi Kartı,1,2
8,Çocuk Montu,Çocuk Montu Modeli 9,Giyim,Çocuk Giyim,389,345,91,15,37,2024-03-07,2024-03-20,Nakit,1,3
9,Tişört,Tişört Modeli 10,Giyim,Üst Giyim,322,267,87,25,10,2024-03-13,2024-03-26,Kredi Kartı,1,4
10,Gömlek,Gömlek Modeli 7,Giyim,Üst Giyim,160,100,79,41,6,2024-03-11,2024-03-25,Nakit,1,4
11,Etek,Etek Modeli 2,Giyim,Alt Giyim,100,25,42,25,11,2024-03-21,2024-03-24,Nakit,1,5
12,Kazak,Kazak Modeli 8,Giyim,Üst Giyim,305,221,80,58,7,2024-03-10,2024-03-28,Kredi Kartı,1,4
13,Trençkot,Trençkot Modeli 2,Giyim,Dış Giyim,412,370,15,4,4,2024-03-26,2024-03-27,Kredi Kartı,1,1
14,Hırka,Hırka Modeli 2,Giyim,Üst Giyim,229,214,92,16,14,2024-03-10,2024-03-24,Nakit,1,4
15,Kol Çantası,Kol Çantası Modeli 6,Giyim,Aksesuar,274,230,90,45,35,2024-03-12,2024-03-25,Kredi Kartı,1,6
16,Saat,Saat Modeli 10,Giyim,Aksesuar,401,354,61,9,5,2024-03-13,2024-03-31,Nakit,1,6
17,Cüzdan,Cüzdan Modeli 3,Giyim,Aksesuar,487,442,93,14,13,2024-03-01,2024-03-11,Kredi Kartı,1,6
18,Kolye,Kolye Modeli 6,Giyim,Aksesuar,118,50,45,40,2,2024-03-21,2024-03-25,Nakit,1,6
19,Yüzük,Yüzük Modeli 10,Giyim,Aksesuar,352,314,21,12,2,2024-03-12,2024-03-14,Nakit,1,6
20,Bileklik,Bileklik Modeli 9,Giyim,Aksesuar,81,46,64,60,1,2024-03-15,2024-03-30,Nakit,1,6
21,Küpe,Küpe Modeli 8,Giyim,Aksesuar,419,367,83,79,0,2024-03-17,2024-03-21,Nakit,1,6
22,Atkı,Atkı Modeli 4,Giyim,Aksesuar,164,115,69,35,0,2024-03-28,2024-03-30,Kredi Kartı,1,6
23,Bere,Bere Modeli 7,Giyim,Aksesuar,144,112,12,2,6,2024-03-06,2024-03-28,Nakit,1,6
24,Eldiven,Eldiven Modeli 7,Giyim,Aksesuar,167,68,96,14,10,2024-03-17,2024-03-27,Kredi Kartı,1,6
25,Kemer,Kemer Modeli 5,Giyim,Aksesuar,481,462,78,33,7,2024-03-17,2024-03-23,Kredi Kartı,1,6
26,Güneş Gözlüğü,Güneş Gözlüğü Modeli 9,Giyim,Aksesuar,314,278,45,32,11,2024-03-20,2024-03-24,Kredi Kartı,1,6
27,Maskara,Maskara Modeli 4,Kozmetik,Makyaj,264,243,22,11,9,2024-03-12,2024-03-18,Kredi Kartı,2,7
28,Ruj,Ruj Modeli 2,Kozmetik,Makyaj,96,83,27,26,1,2024-03-02,2024-03-03,Kredi Kartı,2,7
29,Allık,Allık Modeli 7,Kozmetik,Makyaj,301,287,26,17,6,2024-03-09,2024-03-22,Nakit,2,7
30,Fondöten,Fondöten Modeli 6,Kozmetik,Makyaj,228,172,46,9,20,2024-03-05,2024-03-17,Nakit,2,7
31,Oje,Oje Modeli 3,Kozmetik,Makyaj,150,65,45,11,34,2024-03-08,2024-03-11,Nakit,2,7
32,Göz Kalemi,Göz Kalemi Modeli 9,Kozmetik,Makyaj,357,334,36,4,25,2024-03-05,2024-03-15,Nakit,2,7
33,Şampuan,Şampuan Modeli 9,Kozmetik,Kişisel Bakım,84,25,23,18,3,2024-03-23,2024-03-27,Nakit,2,8
34,Saç Kremi,Saç Kremi Modeli 8,Kozmetik,Kişisel Bakım,265,190,14,12,1,2024-03-11,2024-03-14,Kredi Kartı,2,8
35,Diş Fırçası,Diş Fırçası Modeli 5,Kozmetik,Kişisel Bakım,434,360,53,24,24,2024-03-10,2024-03-17,Nakit,2,8
36,Diş Macunu,Diş Macunu Modeli 10,Kozmetik,Kişisel Bakım,326,242,61,51,8,2024-03-06,2024-03-26,Kredi Kartı,2,8
37,Diş İpi,Diş İpi Modeli 3,Kozmetik,Kişisel Bakım,162,148,70,22,37,2024-03-24,2024-03-25,Kredi Kartı,2,8
38,Deodorant,Deodorant Modeli 3,Kozmetik,Kişisel Bakım,165,152,46,45,0,2024-03-26,2024-03-28,Kredi Kartı,2,8
39,Parfüm,Parfüm Modeli 7,Kozmetik,Kişisel Bakım,216,149,57,8,41,2024-03-05,2024-03-22,Kredi Kartı,2,8
40,Nemlendirici Krem,Nemlendirici Krem Modeli 10,Kozmetik,Kişisel Bakım,298,227,36,30,0,2024-03-12,2024-03-20,Nakit,2,8
41,Duş Jeli,Duş Jeli Modeli 2,Kozmetik,Kişisel Bakım,153,130,40,25,2,2024-03-03,2024-03-17,Kredi Kartı,2,8
42,Kese,Kese Modeli 10,Kozmetik,Kişisel Bakım,431,352,52,5,22,2024-03-24,2024-03-28,Nakit,2,8
43,Güneş Kremi,Güneş Kremi Modeli 2,Kozmetik,Kişisel Bakım,409,388,50,37,3,2024-03-09,2024-03-19,Nakit,2,8
44,Tarak,Tarak Modeli 5,Kozmetik,Kişisel Bakım,322,227,76,65,0,2024-03-26,2024-03-30,Nakit,2,8
45,Süpürge,Süpürge Modeli 6,Elektronik,Küçük Ev Aletleri,162,119,61,56,5,2024-03-14,2024-03-27,Nakit,3,9
46,Robot Süpürge,Robot Süpürge Modeli 10,Elektronik,Küçük Ev Aletleri,438,371,67,7,23,2024-03-24,2024-03-31,Nakit,3,9
47,Ütü,Ütü Modeli 6,Elektronik,Küçük Ev Aletleri,198,130,10,7,3,2024-03-24,2024-03-27,Nakit,3,9
48,Kahve Makinesi,Kahve Makinesi Modeli 10,Elektronik,Küçük Ev Aletleri,157,119,36,15,15,2024-03-12,2024-03-18,Nakit,3,9
49,Çay Makinesi,Çay Makinesi Modeli 9,Elektronik,Küçük Ev Aletleri,498,433,29,27,1,2024-03-09,2024-03-16,Nakit,3,9
