urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 4,Giyim,Dış Giyim,71,25,98,57,10,2024-05-16,2024-05-19,Kredi Kartı,1,1
2,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 9,Giyim,Ayakkabı,172,110,56,35,10,2024-05-03,2024-05-15,Kredi Kartı,1,2
3,Günlük Ayakkabı,Günlük Ayakkabı Modeli 6,Giyim,Ayakkabı,103,37,31,28,0,2024-05-18,2024-05-20,Kredi Kartı,1,2
4,Bot,Bot Modeli 3,Giyim,Ayakkabı,459,380,47,13,27,2024-05-15,2024-05-18,Kredi Kartı,1,2
5,Çizme,Çizme Modeli 1,Giyim,Ayakkabı,91,56,59,59,0,2024-05-03,2024-05-31,Nakit,1,2
6,Çocuk Montu,Çocuk Montu Modeli 1,Giyim,Çocuk Giyim,78,25,50,39,3,2024-05-21,2024-05-23,Nakit,1,3
7,Tişört,Tişört Modeli 5,Giyim,Üst Giyim,438,406,57,22,3,2024-05-29,2024-05-30,Kredi Kartı,1,4
8,Gömlek,Gömlek Modeli 9,Giyim,Üst Giyim,450,375,11,9,1,2024-05-06,2024-05-08,Nakit,1,4
9,Pantalon,Pantalon Modeli 2,Giyim,Alt Giyim,303,272,39,7,5,2024-05-27,2024-05-31,Nakit,1,5
10,Etek,Etek Modeli 4,Giyim,Alt Giyim,222,144,100,48,17,2024-05-25,2024-05-28,Kredi Kartı,1,5
11,Kazak,Kazak Modeli 4,Giyim,Üst Giyim,228,209,65,30,34,2024-05-14,2024-05-26,Nakit,1,4
12,Trençkot,Trençkot Modeli 3,Giyim,Dış Giyim,429,329,78,33,29,2024-05-07,2024-05-10,Kredi Kartı,1,1
13,Hırka,Hırka Modeli 6,Giyim,Üst Giyim,267,194,15,14,0,2024-05-18,2024-05-28,Kredi Kartı,1,4
14,Kol Çantası,Kol Çantası Modeli 5,Giyim,Aksesuar,408,342,82,17,12,2024-05-03,2024-05-18,Kredi Kartı,1,6
15,Saat,Saat Modeli 8,Giyim,Aksesuar,156,66,28,22,6,2024-05-05,2024-05-30,Nakit,1,6
16,Cüzdan,Cüzdan Modeli 5,Giyim,Aksesuar,362,271,39,0,29,2024-05-26,2024-05-29,Kredi Kartı,1,6
17,Kolye,Kolye Modeli 2,Giyim,Aksesuar,163,99,41,34,6,2024-05-26,2024-05-29,Kredi Kartı,1,6
18,Yüzük,Yüzük Modeli 4,Giyim,Aksesuar,356,305,89,43,40,2024-05-02,2024-05-15,Kredi Kartı,1,6
19,Bileklik,Bileklik Modeli 9,Giyim,Aksesuar,207,178,18,7,6,2024-05-27,2024-05-30,Kredi Kartı,1,6
20,Küpe,Küpe Modeli 3,Giyim,Aksesuar,284,246,69,36,10,2024-05-15,2024-05-30,Kredi Kartı,1,6
21,Atkı,Atkı Modeli 6,Giyim,Aksesuar,307,241,16,10,4,2024-05-03,2024-05-07,Kredi Kartı,1,6
22,Bere,Bere Modeli 10,Giyim,Aksesuar,116,100,61,50,3,2024-05-04,2024-05-31,Nakit,1,6
23,Eldiven,Eldiven Modeli 10,Giyim,Aksesuar,353,253,79,65,12,2024-05-24,2024-05-26,Kredi Kartı,1,6
24,Kemer,Kemer Modeli 9,Giyim,Aksesuar,76,25,16,15,0,2024-05-22,2024-05-23,Kredi Kartı,1,6
25,Güneş Gözlüğü,Güneş Gözlüğü Modeli 1,Giyim,Aksesuar,194,178,41,39,1,2024-05-25,2024-05-26,Nakit,1,6
26,Maskara,Maskara Modeli 7,Kozmetik,Makyaj,65,33,87,85,1,2024-05-30,2024-05-31,Nakit,2,7
27,Ruj,Ruj Modeli 9,Kozmetik,Makyaj,276,205,47,36,0,2024-05-20,2024-05-24,Kredi Kartı,2,7
28,Allık,Allık Modeli 4,Kozmetik,Makyaj,370,350,36,2,24,2024-05-12,2024-05-16,Nakit,2,7
