urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 1,Giyim,Dış Giyim,302,222,16,0,16,2024-04-17,2024-04-20,Nakit,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 8,Giyim,Ayakkabı,381,307,36,0,9,2024-04-20,2024-04-23,Kredi Kartı,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 6,Giyim,Ayakkabı,126,78,94,53,14,2024-04-22,2024-04-24,Nakit,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 6,Giyim,Ayakkabı,378,308,12,6,5,2024-04-04,2024-04-26,Kredi Kartı,1,2
5,Bot,Bot Modeli 2,Giyim,Ayakkabı,437,392,55,48,6,2024-04-21,2024-04-24,Kredi Kartı,1,2
6,Çizme,Çizme Modeli 4,Giyim,Ayakkabı,320,266,53,26,12,2024-04-13,2024-04-22,Kredi Kartı,1,2
7,Terlik,Terlik Modeli 7,Giyim,Ayakkabı,216,206,52,29,23,2024-04-13,2024-04-19,Kredi Kartı,1,2
8,Çocuk Montu,Çocuk Montu Modeli 7,Giyim,Çocuk Giyim,310,269,67,28,1,2024-04-21,2024-04-24,Nakit,1,3
9,Tişört,Tişört Modeli 6,Giyim,Üst Giyim,136,120,12,8,2,2024-04-01,2024-04-27,Kredi Kartı,1,4
10,Gömlek,Gömlek Modeli 2,Giyim,Üst Giyim,463,369,73,6,13,2024-04-16,2024-04-29,Kredi Kartı,1,4
11,Pantalon,Pantalon Modeli 4,Giyim,Alt Giyim,318,282,60,36,23,2024-04-25,2024-04-30,Kredi Kartı,1,5
12,Etek,Etek Modeli 3,Giyim,Alt Giyim,84,25,47,46,0,2024-04-11,2024-04-25,Kredi Kartı,1,5
13,Kazak,Kazak Modeli 6,Giyim,Üst Giyim,179,108,34,4,14,2024-04-04,2024-04-13,Kredi Kartı,1,4
14,Trençkot,Trençkot Modeli 9,Giyim,Dış Giyim,374,299,40,25,1,2024-04-29,2024-04-30,Kredi Kartı,1,1
15,Hırka,Hırka Modeli 2,Giyim,Üst Giyim,334,276,19,2,0,2024-04-20,2024-04-27,Kredi Kartı,1,4
16,Kol Çantası,Kol Çantası Modeli 9,Giyim,Aksesuar,290,277,70,15,51,2024-04-19,2024-04-25,Nakit,1,6
17,Saat,Saat Modeli 4,Giyim,Aksesuar,166,111,75,47,14,2024-04-15,2024-04-16,Nakit,1,6
18,Cüzdan,Cüzdan Modeli 4,Giyim,Aksesuar,256,159,64,27,4,2024-04-29,2024-04-30,Nakit,1,6
19,Kolye,Kolye Modeli 5,Giyim,Aksesuar,130,45,24,1,8,2024-04-03,2024-04-06,Nakit,1,6
20,Yüzük,Yüzük Modeli 9,Giyim,Aksesuar,495,470,68,48,19,2024-04-23,2024-04-30,Kredi Kartı,1,6
21,Bileklik,Bileklik Modeli 6,Giyim,Aksesuar,272,230,55,49,5,2024-04-01,2024-04-16,Kredi Kartı,1,6
22,Küpe,Küpe Modeli 5,Giyim,Aksesuar,370,329,29,29,0,2024-04-26,2024-04-28,Kredi Kartı,1,6
23,Atkı,Atkı Modeli 2,Giyim,Aksesuar,291,193,98,10,88,2024-04-15,2024-04-22,Kredi Kartı,1,6
24,Bere,Bere Modeli 4,Giyim,Aksesuar,471,393,63,34,12,2024-04-12,2024-04-22,Kredi Kartı,1,6
25,Eldiven,Eldiven Modeli 8,Giyim,Aksesuar,260,168,81,58,18,2024-04-04,2024-04-28,Kredi Kartı,1,6
26,Güneş Gözlüğü,Güneş Gözlüğü Modeli 2,Giyim,Aksesuar,122,99,28,9,7,2024-04-09,2024-04-22,Nakit,1,6
27,Maskara,Maskara Modeli 5,Kozmetik,Makyaj,161,114,91,0,15,2024-04-16,2024-04-28,Nakit,2,7
28,Ruj,Ruj Modeli 7,Kozmetik,Makyaj,137,115,69,31,14,2024-04-26,2024-04-29,Kredi Kartı,2,7
29,Allık,Allık Modeli 10,Kozmetik,Makyaj,230,200,37,16,14,2024-04-18,2024-04-23,Nakit,2,7
30,Fondöten,Fondöten Modeli 2,Kozmetik,Makyaj,461,406,28,0,15,2024-04-08,2024-04-24,Nakit,2,7
31,Oje,Oje Modeli 7,Kozmetik,Makyaj,452,361,54,5,6,2024-04-26,2024-04-29,Nakit,2,7
32,Göz Kalemi,Göz Kalemi Modeli 2,Kozmetik,Makyaj,268,171,64,47,5,2024-04-01,2024-04-17,Nakit,2,7
33,Şampuan,Şampuan Modeli 9,Kozmetik,Kişisel Bakım,193,116,95,89,6,2024-04-04,2024-04-30,Nakit,2,8
34,Saç Kremi,Saç Kremi Modeli 1,Kozmetik,Kişisel Bakım,280,201,92,43,33,2024-04-14,2024-04-26,Nakit,2,8
35,Diş Fırçası,Diş Fırçası Modeli 6,Kozmetik,Kişisel Bakım,96,84,50,48,0,2024-04-07,2024-04-22,Kredi Kartı,2,8
36,Diş Macunu,Diş Macunu Modeli 10,Kozmetik,Kişisel Bakım,204,141,82,68,5,2024-04-23,2024-04-30,Kredi Kartı,2,8
37,Diş İpi,Diş İpi Modeli 5,Kozmetik,Kişisel Bakım,456,424,41,16,4,2024-04-16,2024-04-28,Kredi Kartı,2,8
38,Deodorant,Deodorant Modeli 10,Kozmetik,Kişisel Bakım,83,64,97,45,0,2024-04-14,2024-04-22,Nakit,2,8
39,Parfüm,Parfüm Modeli 1,Kozmetik,Kişisel Bakım,291,217,84,21,63,2024-04-10,2024-04-16,Kredi Kartı,2,8
40,Duş Jeli,Duş Jeli Modeli 2,Kozmetik,Kişisel Bakım,337,311,82,15,10,2024-04-13,2024-04-22,Kredi Kartı,2,8
41,Kese,Kese Modeli 1,Kozmetik,Kişisel Bakım,131,81,13,5,0,2024-04-24,2024-04-28,Kredi Kartı,2,8
42,Güneş Kremi,Güneş Kremi Modeli 8,Kozmetik,Kişisel Bakım,154,106,90,86,2,2024-04-05,2024-04-22,Kredi Kartı,2,8
43,Tarak,Tarak Modeli 2,Kozmetik,Kişisel Bakım,254,167,57,43,8,2024-04-02,2024-04-10,Kredi Kartı,2,8
44,Süpürge,Süpürge Modeli 6,Elektronik,Küçük Ev Aletleri,494,472,24,24,0,2024-04-29,2024-04-30,Nakit,3,9
45,Robot Süpürge,Robot Süpürge Modeli 7,Elektronik,Küçük Ev Aletleri,305,243,72,25,38,2024-04-09,2024-04-23,Kredi Kartı,3,9
46,Ütü,Ütü Modeli 9,Elektronik,Küçük Ev Aletleri,492,438,31,9,14,2024-04-11,2024-04-28,Nakit,3,9
47,Kahve Makinesi,Kahve Makinesi Modeli 4,Elektronik,Küçük Ev Aletleri,260,175,14,2,6,2024-04-06,2024-04-16,Kredi Kartı,3,9
48,Blender,Blender Modeli 3,Elektronik,Küçük Ev Aletleri,206,107,46,34,8,2024-04-09,2024-04-27,Kredi Kartı,3,9
49,Tost Makinesi,Tost Makinesi Modeli 6,Elektronik,Küçük Ev Aletleri,126,54,96,53,21,2024-04-10,2024-04-19,Nakit,3,9
50,Su Isıtıcı,Su Isıtıcı Modeli 8,Elektronik,Küçük Ev Aletleri,136,77,92,21,19,2024-04-20,2024-04-29,Nakit,3,9
51,Mikser,Mikser Modeli 5,Elektronik,Küçük Ev Aletleri,245,158,38,5,21,2024-04-27,2024-04-29,Nakit,3,9
52,Airfryer,Airfryer Modeli 6,Elektronik,Küçük Ev Aletleri,310,259,89,42,35,2024-04-03,2024-04-10,Nakit,3,9
53,Akıllı Saat,Akıllı Saat Modeli 6,Elektronik,Giyilebilir Teknoloji,263,193,15,11,0,2024-04-25,2024-04-29,Nakit,3,10
54,Akıllı Bileklik,Akıllı Bileklik Modeli 2,Elektronik,Giyilebilir Teknoloji,253,184,82,40,35,2024-04-27,2024-04-30,Nakit,3,10
55,Android Cep Telefon,Android Cep Telefon Modeli 2,Elektronik,Telefon,152,119,99,95,3,2024-04-24,2024-04-26,Kredi Kartı,3,11
56,iOS Cep Telefon,iOS Cep Telefon Modeli 4,Elektronik,Telefon,258,230,96,52,31,2024-04-05,2024-04-29,Nakit,3,11
57,Buzdolabı,Buzdolabı Modeli 5,Elektronik,Beyaz Eşya,317,224,14,1,11,2024-04-20,2024-04-26,Nakit,3,12
58,Çamaşır Makinesi,Çamaşır Makinesi Modeli 3,Elektronik,Beyaz Eşya,455,360,47,16,28,2024-04-02,2024-04-13,Kredi Kartı,3,12
59,Bulaşık Makinesi,Bulaşık Makinesi Modeli 8,Elektronik,Beyaz Eşya,75,39,81,23,53,2024-04-11,2024-04-30,Kredi Kartı,3,12
60,Kurutma Makinesi,Kurutma Makinesi Modeli 5,Elektronik,Beyaz Eşya,469,431,74,31,23,2024-04-22,2024-04-24,Kredi Kartı,3,12
61,Derin Dondurucu,Derin Dondurucu Modeli 3,Elektronik,Beyaz Eşya,303,277,52,3,7,2024-04-27,2024-04-29,Nakit,3,12
62,Ankastre Set,Ankastre Set Modeli 5,Elektronik,Beyaz Eşya,162,102,19,16,2,2024-04-02,2024-04-03,Kredi Kartı,3,12
63,Mikrodalga Fırın,Mikrodalga Fırın Modeli 6,Elektronik,Beyaz Eşya,182,161,58,31,14,2024-04-26,2024-04-27,Kredi Kartı,3,12
64,Smart TV,Smart TV Modeli 10,Elektronik,Televizyon,222,141,63,3,11,2024-04-15,2024-04-26,Kredi Kartı,3,13
65,Fotoğraf Makinesi,Fotoğraf Makinesi Modeli 2,Elektronik,Kamera,283,269,44,15,10,2024-04-15,2024-04-20,Kredi Kartı,3,14
66,Şipşak Fotoğraf Makinesi ,Şipşak Fotoğraf Makinesi  Modeli 1,Elektronik,Kamera,420,388,30,16,12,2024-04-08,2024-04-27,Nakit,3,14
67,Telefon Kılıfı,Telefon Kılıfı Modeli 9,Elektronik,Aksesuarlar,458,428,38,25,10,2024-04-18,2024-04-22,Kredi Kartı,3,15
68,Powerbank,Powerbank Modeli 7,Elektronik,Aksesuarlar,174,87,41,9,7,2024-04-08,2024-04-18,Kredi Kartı,3,15
69,Kulaklık,Kulaklık Modeli 2,Elektronik,Aksesuarlar,282,243,46,7,34,2024-04-16,2024-04-20,Nakit,3,15
70,Hafıza Kartı,Hafıza Kartı Modeli 5,Elektronik,Aksesuarlar,238,173,40,12,0,2024-04-20,2024-04-24,Kredi Kartı,3,15
71,Hoparlör,Hoparlör Modeli 2,Elektronik,Aksesuarlar,277,257,59,21,6,2024-04-14,2024-04-19,Nakit,3,15
72,Projeksiyon Cihazı,Projeksiyon Cihazı Modeli 2,Elektronik,Aksesuarlar,253,184,42,17,13,2024-04-01,2024-04-15,Kredi Kartı,3,15
73,Tv Kumandası,Tv Kumandası Modeli 9,Elektronik,Aksesuarlar,377,349,94,68,15,2024-04-08,2024-04-15,Kredi Kartı,3,15
74,HDMI Kablo,HDMI Kablo Modeli 10,Elektronik,Aksesuarlar,146,48,40,34,5,2024-04-29,2024-04-30,Nakit,3,15
75,Kablo & Adaptör,Kablo & Adaptör Modeli 9,Elektronik,Aksesuarlar,392,335,91,87,1,2024-04-17,2024-04-18,Nakit,3,15
76,Tencere,Tencere Modeli 1,Ev,Sofra & Mutfak,190,122,72,57,1,2024-04-08,2024-04-24,Kredi Kartı,4,16
77,Yemek Takımı,Yemek Takımı Modeli 9,Ev,Sofra & Mutfak,472,458,84,16,33,2024-04-08,2024-04-26,Nakit,4,16
78,Kahvaltı Takımı,Kahvaltı Takımı Modeli 8,Ev,Sofra & Mutfak,248,181,69,64,2,2024-04-25,2024-04-29,Nakit,4,16
79,Çatal Bıçak Seti,Çatal Bıçak Seti Modeli 8,Ev,Sofra & Mutfak,133,107,94,69,7,2024-04-10,2024-04-16,Nakit,4,16
80,Fincan Takımı,Fincan Takımı Modeli 8,Ev,Sofra & Mutfak,77,25,87,49,26,2024-04-09,2024-04-10,Kredi Kartı,4,16
81,Bardak,Bardak Modeli 4,Ev,Sofra & Mutfak,208,112,49,32,3,2024-04-22,2024-04-25,Kredi Kartı,4,16
82,Hurç,Hurç Modeli 3,Ev,Ev Gereçleri,339,262,32,1,4,2024-04-02,2024-04-26,Kredi Kartı,4,17
83,Askı,Askı Modeli 6,Ev,Ev Gereçleri,97,35,59,24,35,2024-04-23,2024-04-30,Kredi Kartı,4,17
84,Çamaşır Sepeti,Çamaşır Sepeti Modeli 3,Ev,Ev Gereçleri,394,301,56,56,0,2024-04-26,2024-04-29,Nakit,4,17
85,Ütü Masası,Ütü Masası Modeli 5,Ev,Ev Gereçleri,363,326,35,5,19,2024-04-11,2024-04-29,Nakit,4,17
86,Nevresim Takımı,Nevresim Takımı Modeli 1,Ev,Ev Tekstili,319,254,91,30,58,2024-04-19,2024-04-23,Kredi Kartı,4,18
87,Yastık & Yorgan,Yastık & Yorgan Modeli 6,Ev,Ev Tekstili,453,408,79,78,1,2024-04-09,2024-04-24,Kredi Kartı,4,18
88,Koltuk  Örtüsü,Koltuk  Örtüsü Modeli 2,Ev,Ev Tekstili,247,162,43,2,41,2024-04-25,2024-04-30,Nakit,4,18
89,Perde,Perde Modeli 10,Ev,Ev Tekstili,218,167,97,78,4,2024-04-07,2024-04-24,Nakit,4,18
90,Paspas,Paspas Modeli 3,Ev,Ev Tekstili,58,35,95,21,5,2024-04-08,2024-04-23,Kredi Kartı,4,18
91,Halı,Halı Modeli 9,Ev,Ev Tekstili,219,131,72,66,0,2024-04-16,2024-04-29,Nakit,4,18
92,Havlu & Bornoz,Havlu & Bornoz Modeli 3,Ev,Ev Tekstili,256,179,99,92,6,2024-04-25,2024-04-29,Kredi Kartı,4,18
93,Tablo,Tablo Modeli 3,Ev,Ev Dekorasyon,56,25,62,26,3,2024-04-03,2024-04-23,Kredi Kartı,4,19
94,Vazo,Vazo Modeli 10,Ev,Ev Dekorasyon,233,135,21,7,10,2024-04-12,2024-04-23,Nakit,4,19
95,Duvar Saati,Duvar Saati Modeli 6,Ev,Ev Dekorasyon,427,328,21,21,0,2024-04-20,2024-04-29,Nakit,4,19
96,Avize,Avize Modeli 6,Ev,Ev Aydınlatma,293,261,90,64,3,2024-04-20,2024-04-21,Kredi Kartı,4,20
97,Lambader,Lambader Modeli 6,Ev,Ev Dekorasyon,411,348,69,10,37,2024-04-28,2024-04-30,Nakit,4,19
98,Oturma Odası Takımı,Oturma Odası Takımı Modeli 2,Ev,Mobilya,86,25,40,29,9,2024-04-22,2024-04-26,Nakit,4,21
99,Bahçe Mobilyası,Bahçe Mobilyası Modeli 2,Ev,Mobilya,229,201,29,18,1,2024-04-10,2024-04-19,Nakit,4,21
100,Yemek Odası Takımı,Yemek Odası Takımı Modeli 10,Ev,Mobilya,149,137,90,5,53,2024-04-06,2024-04-13,Kredi Kartı,4,21
101,Çocuk Odası Takımı,Çocuk Odası Takımı Modeli 1,Ev,Mobilya,108,25,98,85,10,2024-04-23,2024-04-28,Nakit,4,21
102,Genç Odası Takımı,Genç Odası Takımı Modeli 1,Ev,Mobilya,171,74,36,26,3,2024-04-18,2024-04-24,Nakit,4,21
103,Koltuk Takımı,Koltuk Takımı Modeli 6,Ev,Mobilya,255,206,30,14,4,2024-04-14,2024-04-23,Nakit,4,21
104,Dolap,Dolap Modeli 2,Ev,Mobilya,129,102,94,39,15,2024-04-07,2024-04-21,Kredi Kartı,4,21
105,Gardırop,Gardırop Modeli 5,Ev,Mobilya,185,175,28,11,2,2024-04-03,2024-04-06,Kredi Kartı,4,21
106,Sandalye,Sandalye Modeli 6,Ev,Mobilya,177,109,28,21,2,2024-04-18,2024-04-28,Nakit,4,21
107,Zigon,Zigon Modeli 9,Ev,Mobilya,65,25,58,41,8,2024-04-03,2024-04-25,Kredi Kartı,4,21
108,Spor Ayakkabı,Spor Ayakkabı Modeli 2,Giyim,Ayakkabı,177,118,93,40,23,2024-04-20,2024-04-23,Nakit,1,2
109,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 8,Giyim,Ayakkabı,361,315,97,95,0,2024-04-25,2024-04-27,Kredi Kartı,1,2
110,Günlük Ayakkabı,Günlük Ayakkabı Modeli 5,Giyim,Ayakkabı,125,111,64,49,13,2024-04-26,2024-04-30,Kredi Kartı,1,2
111,Bot,Bot Modeli 7,Giyim,Ayakkabı,214,152,54,53,1,2024-04-06,2024-04-24,Kredi Kartı,1,2
112,Çizme,Çizme Modeli 2,Giyim,Ayakkabı,269,189,48,5,40,2024-04-06,2024-04-22,Kredi Kartı,1,2
113,Terlik,Terlik Modeli 9,Giyim,Ayakkabı,250,157,43,1,20,2024-04-17,2024-04-18,Nakit,1,2
114,Çocuk Montu,Çocuk Montu Modeli 9,Giyim,Çocuk Giyim,113,96,41,7,26,2024-04-23,2024-04-25,Nakit,1,3
115,Tişört,Tişört Modeli 7,Giyim,Üst Giyim,88,51,42,7,18,2024-04-24,2024-04-25,Nakit,1,4
116,Etek,Etek Modeli 2,Giyim,Alt Giyim,380,351,19,1,2,2024-04-07,2024-04-12,Kredi Kartı,1,5
117,Kazak,Kazak Modeli 2,Giyim,Üst Giyim,107,44,81,42,27,2024-04-16,2024-04-27,Kredi Kartı,1,4
118,Trençkot,Trençkot Modeli 6,Giyim,Dış Giyim,407,317,63,53,5,2024-04-24,2024-04-29,Nakit,1,1
119,Hırka,Hırka Modeli 8,Giyim,Üst Giyim,57,25,67,49,14,2024-04-21,2024-04-30,Kredi Kartı,1,4
120,Kol Çantası,Kol Çantası Modeli 1,Giyim,Aksesuar,494,478,77,17,1,2024-04-10,2024-04-28,Kredi Kartı,1,6
121,Saat,Saat Modeli 3,Giyim,Aksesuar,391,297,72,13,47,2024-04-01,2024-04-11,Kredi Kartı,1,6
122,Cüzdan,Cüzdan Modeli 5,Giyim,Aksesuar,151,91,13,13,0,2024-04-14,2024-04-29,Kredi Kartı,1,6
123,Kolye,Kolye Modeli 8,Giyim,Aksesuar,164,154,84,19,29,2024-04-02,2024-04-09,Nakit,1,6
124,Bileklik,Bileklik Modeli 10,Giyim,Aksesuar,231,151,94,82,4,2024-04-22,2024-04-27,Nakit,1,6
125,Küpe,Küpe Modeli 6,Giyim,Aksesuar,176,157,15,13,0,2024-04-05,2024-04-25,Kredi Kartı,1,6
126,Atkı,Atkı Modeli 7,Giyim,Aksesuar,199,153,19,6,9,2024-04-29,2024-04-30,Nakit,1,6
127,Bere,Bere Modeli 1,Giyim,Aksesuar,304,254,81,23,19,2024-04-17,2024-04-28,Nakit,1,6
128,Kemer,Kemer Modeli 3,Giyim,Aksesuar,353,293,28,2,20,2024-04-13,2024-04-27,Kredi Kartı,1,6
129,Güneş Gözlüğü,Güneş Gözlüğü Modeli 7,Giyim,Aksesuar,429,354,65,0,60,2024-04-12,2024-04-18,Nakit,1,6
130,Maskara,Maskara Modeli 2,Kozmetik,Makyaj,384,364,66,22,32,2024-04-28,2024-04-30,Nakit,2,7
131,Ruj,Ruj Modeli 5,Kozmetik,Makyaj,163,139,10,2,1,2024-04-05,2024-04-11,Nakit,2,7
132,Allık,Allık Modeli 10,Kozmetik,Makyaj,93,47,34,5,6,2024-04-10,2024-04-17,Nakit,2,7
133,Fondöten,Fondöten Modeli 5,Kozmetik,Makyaj,419,334,15,3,1,2024-04-08,2024-04-22,Nakit,2,7
134,Oje,Oje Modeli 7,Kozmetik,Makyaj,190,124,11,8,3,2024-04-22,2024-04-30,Nakit,2,7
135,Göz Kalemi,Göz Kalemi Modeli 7,Kozmetik,Makyaj,127,36,38,17,13,2024-04-03,2024-04-20,Kredi Kartı,2,7
136,Şampuan,Şampuan Modeli 4,Kozmetik,Kişisel Bakım,202,170,16,3,4,2024-04-20,2024-04-30,Nakit,2,8
137,Saç Kremi,Saç Kremi Modeli 3,Kozmetik,Kişisel Bakım,274,191,98,79,17,2024-04-21,2024-04-26,Kredi Kartı,2,8
138,Diş Fırçası,Diş Fırçası Modeli 8,Kozmetik,Kişisel Bakım,58,43,23,0,3,2024-04-22,2024-04-26,Kredi Kartı,2,8
139,Diş Macunu,Diş Macunu Modeli 1,Kozmetik,Kişisel Bakım,107,61,66,36,15,2024-04-10,2024-04-24,Nakit,2,8
140,Diş İpi,Diş İpi Modeli 2,Kozmetik,Kişisel Bakım,317,280,64,2,43,2024-04-16,2024-04-20,Kredi Kartı,2,8
