urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 8,Giyim,Dış Giyim,498,440,100,83,9,2024-01-06,2024-01-08,Nakit,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 9,Giyim,Ayakkabı,149,95,15,6,1,2024-01-03,2024-01-17,Kredi Kartı,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 4,Giyim,Ayakkabı,161,143,91,3,70,2024-01-26,2024-01-31,Nakit,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 6,Giyim,Ayakkabı,145,123,76,74,1,2024-01-17,2024-01-26,Nakit,1,2
5,Bot,Bot Modeli 8,Giyim,Ayakkabı,410,371,82,75,6,2024-01-22,2024-01-25,Nakit,1,2
6,Çizme,Çizme Modeli 7,Giyim,Ayakkabı,285,233,76,36,10,2024-01-04,2024-01-20,Nakit,1,2
7,Terlik,Terlik Modeli 7,Giyim,Ayakkabı,422,402,80,52,24,2024-01-01,2024-01-12,Kredi Kartı,1,2
8,Çocuk Montu,Çocuk Montu Modeli 6,Giyim,Çocuk Giyim,299,210,94,32,29,2024-01-12,2024-01-28,Kredi Kartı,1,3
9,Tişört,Tişört Modeli 1,Giyim,Üst Giyim,470,370,39,22,13,2024-01-11,2024-01-20,Kredi Kartı,1,4
10,Gömlek,Gömlek Modeli 10,Giyim,Üst Giyim,380,326,21,15,2,2024-01-10,2024-01-31,Nakit,1,4
11,Pantalon,Pantalon Modeli 7,Giyim,Alt Giyim,59,25,38,5,31,2024-01-03,2024-01-12,Nakit,1,5
12,Etek,Etek Modeli 4,Giyim,Alt Giyim,325,240,100,53,13,2024-01-29,2024-01-30,Nakit,1,5
13,Kazak,Kazak Modeli 9,Giyim,Üst Giyim,466,421,71,25,6,2024-01-29,2024-01-30,Nakit,1,4
14,Trençkot,Trençkot Modeli 8,Giyim,Dış Giyim,392,356,23,1,19,2024-01-06,2024-01-07,Kredi Kartı,1,1
15,Hırka,Hırka Modeli 6,Giyim,Üst Giyim,267,176,55,45,9,2024-01-05,2024-01-06,Nakit,1,4
16,Kol Çantası,Kol Çantası Modeli 10,Giyim,Aksesuar,69,56,95,51,26,2024-01-03,2024-01-12,Nakit,1,6
17,Saat,Saat Modeli 9,Giyim,Aksesuar,81,48,53,36,17,2024-01-04,2024-01-31,Kredi Kartı,1,6
18,Cüzdan,Cüzdan Modeli 8,Giyim,Aksesuar,306,242,87,36,36,2024-01-07,2024-01-17,Nakit,1,6
19,Kolye,Kolye Modeli 6,Giyim,Aksesuar,422,364,83,68,14,2024-01-12,2024-01-25,Nakit,1,6
20,Yüzük,Yüzük Modeli 3,Giyim,Aksesuar,100,25,94,75,8,2024-01-04,2024-01-31,Kredi Kartı,1,6
21,Bileklik,Bileklik Modeli 2,Giyim,Aksesuar,272,230,12,9,0,2024-01-03,2024-01-29,Nakit,1,6
22,Küpe,Küpe Modeli 9,Giyim,Aksesuar,394,374,15,4,6,2024-01-07,2024-01-10,Nakit,1,6
23,Atkı,Atkı Modeli 10,Giyim,Aksesuar,59,25,51,16,5,2024-01-01,2024-01-07,Kredi Kartı,1,6
24,Bere,Bere Modeli 7,Giyim,Aksesuar,431,397,13,8,1,2024-01-11,2024-01-28,Nakit,1,6
25,Eldiven,Eldiven Modeli 1,Giyim,Aksesuar,477,396,56,15,27,2024-01-21,2024-01-24,Nakit,1,6
26,Kemer,Kemer Modeli 10,Giyim,Aksesuar,323,302,68,36,29,2024-01-25,2024-01-31,Kredi Kartı,1,6
27,Güneş Gözlüğü,Güneş Gözlüğü Modeli 8,Giyim,Aksesuar,177,138,19,2,11,2024-01-04,2024-01-23,Nakit,1,6
28,Ruj,Ruj Modeli 3,Kozmetik,Makyaj,289,262,80,79,0,2024-01-09,2024-01-11,Kredi Kartı,2,7
29,Allık,Allık Modeli 7,Kozmetik,Makyaj,335,254,31,12,5,2024-01-29,2024-01-30,Nakit,2,7
30,Fondöten,Fondöten Modeli 5,Kozmetik,Makyaj,230,191,71,69,0,2024-01-29,2024-01-30,Nakit,2,7
31,Göz Kalemi,Göz Kalemi Modeli 6,Kozmetik,Makyaj,238,219,61,23,34,2024-01-29,2024-01-31,Nakit,2,7
32,Şampuan,Şampuan Modeli 1,Kozmetik,Kişisel Bakım,89,25,49,32,3,2024-01-19,2024-01-25,Nakit,2,8
33,Diş Fırçası,Diş Fırçası Modeli 4,Kozmetik,Kişisel Bakım,179,124,88,77,0,2024-01-25,2024-01-27,Nakit,2,8
34,Diş Macunu,Diş Macunu Modeli 8,Kozmetik,Kişisel Bakım,132,70,62,49,11,2024-01-23,2024-01-30,Kredi Kartı,2,8
35,Diş İpi,Diş İpi Modeli 6,Kozmetik,Kişisel Bakım,305,266,19,19,0,2024-01-27,2024-01-28,Kredi Kartı,2,8
36,Deodorant,Deodorant Modeli 9,Kozmetik,Kişisel Bakım,76,25,60,46,7,2024-01-23,2024-01-31,Kredi Kartı,2,8
37,Parfüm,Parfüm Modeli 4,Kozmetik,Kişisel Bakım,73,25,48,42,5,2024-01-30,2024-01-31,Kredi Kartı,2,8
38,Nemlendirici Krem,Nemlendirici Krem Modeli 3,Kozmetik,Kişisel Bakım,427,358,89,73,14,2024-01-28,2024-01-29,Nakit,2,8
39,Duş Jeli,Duş Jeli Modeli 7,Kozmetik,Kişisel Bakım,96,25,70,58,0,2024-01-08,2024-01-23,Nakit,2,8
40,Kese,Kese Modeli 9,Kozmetik,Kişisel Bakım,480,419,60,45,0,2024-01-27,2024-01-29,Nakit,2,8
41,Güneş Kremi,Güneş Kremi Modeli 9,Kozmetik,Kişisel Bakım,380,321,20,7,5,2024-01-10,2024-01-19,Nakit,2,8
42,Tarak,Tarak Modeli 10,Kozmetik,Kişisel Bakım,308,280,76,74,0,2024-01-29,2024-01-30,Kredi Kartı,2,8
43,Süpürge,Süpürge Modeli 9,Elektronik,Küçük Ev Aletleri,406,344,89,5,38,2024-01-11,2024-01-31,Nakit,3,9
44,Robot Süpürge,Robot Süpürge Modeli 10,Elektronik,Küçük Ev Aletleri,442,420,85,71,5,2024-01-14,2024-01-20,Kredi Kartı,3,9
45,Ütü,Ütü Modeli 9,Elektronik,Küçük Ev Aletleri,441,384,51,38,6,2024-01-09,2024-01-31,Nakit,3,9
46,Kahve Makinesi,Kahve Makinesi Modeli 3,Elektronik,Küçük Ev Aletleri,142,44,52,46,6,2024-01-08,2024-01-25,Kredi Kartı,3,9
47,Çay Makinesi,Çay Makinesi Modeli 10,Elektronik,Küçük Ev Aletleri,395,321,35,0,25,2024-01-01,2024-01-29,Kredi Kartı,3,9
48,Blender,Blender Modeli 6,Elektronik,Küçük Ev Aletleri,88,35,24,8,14,2024-01-21,2024-01-25,Nakit,3,9
