urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 4,Giyim,Dış Giyim,364,350,66,52,8,2024-02-14,2024-02-16,Nakit,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 7,Giyim,Ayakkabı,261,180,40,5,1,2024-02-05,2024-02-18,Nakit,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 5,Giyim,Ayakkabı,239,172,38,38,0,2024-02-26,2024-02-27,Nakit,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 2,Giyim,Ayakkabı,81,35,37,19,16,2024-02-25,2024-02-29,Kredi Kartı,1,2
5,Bot,Bot Modeli 4,Giyim,Ayakkabı,445,359,44,17,5,2024-02-06,2024-02-26,Kredi Kartı,1,2
6,Çizme,Çizme Modeli 5,Giyim,Ayakkabı,241,229,25,20,5,2024-02-23,2024-02-24,Kredi Kartı,1,2
7,Terlik,Terlik Modeli 4,Giyim,Ayakkabı,163,103,11,9,0,2024-02-02,2024-02-12,Nakit,1,2
8,Çocuk Montu,Çocuk Montu Modeli 7,Giyim,Çocuk Giyim,416,318,23,20,1,2024-02-25,2024-02-28,Nakit,1,3
9,Tişört,Tişört Modeli 7,Giyim,Üst Giyim,462,382,80,31,29,2024-02-02,2024-02-14,Kredi Kartı,1,4
10,Pantalon,Pantalon Modeli 7,Giyim,Alt Giyim,255,239,11,9,2,2024-02-16,2024-02-18,Kredi Kartı,1,5
11,Etek,Etek Modeli 9,Giyim,Alt Giyim,236,219,28,24,3,2024-02-25,2024-02-29,Kredi Kartı,1,5
12,Kazak,Kazak Modeli 7,Giyim,Üst Giyim,446,389,23,4,3,2024-02-24,2024-02-25,Kredi Kartı,1,4
13,Trençkot,Trençkot Modeli 7,Giyim,Dış Giyim,269,179,30,1,12,2024-02-28,2024-02-29,Nakit,1,1
14,Hırka,Hırka Modeli 9,Giyim,Üst Giyim,209,157,93,84,9,2024-02-01,2024-02-22,Kredi Kartı,1,4
15,Kol Çantası,Kol Çantası Modeli 7,Giyim,Aksesuar,108,30,12,1,3,2024-02-19,2024-02-25,Nakit,1,6
16,Saat,Saat Modeli 2,Giyim,Aksesuar,99,89,19,14,3,2024-02-12,2024-02-25,Kredi Kartı,1,6
17,Cüzdan,Cüzdan Modeli 5,Giyim,Aksesuar,68,49,24,4,12,2024-02-04,2024-02-05,Kredi Kartı,1,6
