urun_id,urun_turu,urun_modeli,ana_kategori,alt_kategori,normal_fiyat,indirimli_fiyat,stok_adedi,indirim_satis_adedi,normal_satis_adedi,stok_giris_tarihi,stok_cikis_tarihi,odeme_yontemi,ana_kategori_id,alt_kategori_id
1,Mont,Mont Modeli 7,Giyim,Dış Giyim,345,307,62,29,20,2024-07-30,2024-07-31,Nakit,1,1
2,Spor Ayakkabı,Spor Ayakkabı Modeli 2,Giyim,Ayakkabı,291,200,49,7,29,2024-07-25,2024-07-30,Kredi Kartı,1,2
3,Topuklu Ayakkabı,Topuklu Ayakkabı Modeli 5,Giyim,Ayakkabı,292,237,18,1,13,2024-07-10,2024-07-16,Kredi Kartı,1,2
4,Günlük Ayakkabı,Günlük Ayakkabı Modeli 1,Giyim,Ayakkabı,110,43,46,45,0,2024-07-11,2024-07-16,Nakit,1,2
5,Bot,Bot Modeli 9,Giyim,Ayakkabı,88,68,62,0,39,2024-07-06,2024-07-29,Nakit,1,2
6,Çizme,Çizme Modeli 8,Giyim,Ayakkabı,345,250,92,9,5,2024-07-08,2024-07-24,Nakit,1,2
7,Terlik,Terlik Modeli 4,Giyim,Ayakkabı,123,98,57,35,5,2024-07-03,2024-07-13,Nakit,1,2
8,Tişört,Tişört Modeli 4,Giyim,Üst Giyim,237,219,85,62,7,2024-07-04,2024-07-07,Nakit,1,4
9,Pantalon,Pantalon Modeli 5,Giyim,Alt Giyim,71,25,41,7,34,2024-07-05,2024-07-23,Nakit,1,5
10,Etek,Etek Modeli 2,Giyim,Alt Giyim,360,293,24,9,15,2024-07-20,2024-07-29,Nakit,1,5
11,Kazak,Kazak Modeli 5,Giyim,Üst Giyim,488,432,31,18,13,2024-07-04,2024-07-06,Kredi Kartı,1,4
12,Trençkot,Trençkot Modeli 3,Giyim,Dış Giyim,224,172,73,52,4,2024-07-12,2024-07-31,Nakit,1,1
13,Hırka,Hırka Modeli 3,Giyim,Üst Giyim,180,95,77,7,3,2024-07-28,2024-07-30,Kredi Kartı,1,4
14,Kol Çantası,Kol Çantası Modeli 6,Giyim,Aksesuar,490,441,48,21,8,2024-07-14,2024-07-18,Kredi Kartı,1,6
15,Saat,Saat Modeli 5,Giyim,Aksesuar,264,189,16,15,1,2024-07-21,2024-07-31,Nakit,1,6
16,Cüzdan,Cüzdan Modeli 5,Giyim,Aksesuar,166,100,42,40,2,2024-07-10,2024-07-16,Kredi Kartı,1,6
17,Kolye,Kolye Modeli 5,Giyim,Aksesuar,275,182,19,2,16,2024-07-05,2024-07-25,Kredi Kartı,1,6
